time,ax,ay,az,atotal
0.01165318489074707,0.02,-0.02,-0.57,0.57
0.01739192008972168,0.02,-0.17,-0.14,0.22
0.020153045654296875,0.01,-0.16,0.29,0.33
0.0369260311126709,-0.04,-0.07,0.48,0.48
0.03924107551574707,-0.04,-0.04,0.45,0.45
0.05812406539916992,0.04,-0.1,0.31,0.32
0.06068015098571777,0.16,-0.19,0.2,0.31
0.0670769214630127,0.23,-0.26,0.09,0.35
0.07082390785217285,0.15,-0.27,0.01,0.3
0.08365201950073242,0.0,-0.19,-0.04,0.19
0.09474802017211914,-0.07,-0.11,-0.13,0.18
0.1009218692779541,-0.04,-0.09,-0.25,0.26
0.11018586158752441,-0.04,-0.07,-0.23,0.24
0.12046694755554199,-0.1,0.01,-0.09,0.13
0.1300499439239502,-0.09,0.06,-0.12,0.16
0.1412520408630371,0.06,-0.01,-0.18,0.19
0.15060019493103027,0.2,-0.08,-0.15,0.26
0.1599740982055664,0.15,-0.09,-0.14,0.22
0.17026209831237793,0.02,-0.06,-0.24,0.24
0.1796400547027588,-0.03,-0.05,-0.18,0.18
0.19098687171936035,-0.03,-0.06,-0.11,0.12
0.19950199127197266,-0.03,-0.05,-0.12,0.13
0.2097032070159912,-0.08,-0.05,-0.14,0.16
0.21980690956115723,-0.14,-0.09,-0.13,0.21
0.22949719429016113,-0.06,-0.06,-0.13,0.15
0.24021315574645996,0.01,-0.06,-0.16,0.17
0.24977803230285645,-0.01,-0.09,-0.25,0.26
0.25940704345703125,-0.03,-0.11,-0.34,0.35
0.26981616020202637,0.0,-0.12,-0.39,0.4
0.27896618843078613,0.02,-0.09,-0.34,0.35
0.28987908363342285,0.05,-0.04,-0.25,0.25
0.2992079257965088,0.12,0.05,-0.08,0.15
0.30930304527282715,0.07,0.12,0.12,0.18
0.3191039562225342,-0.08,0.08,0.04,0.12
0.3289811611175537,-0.08,-0.09,-0.35,0.37
0.3397970199584961,0.03,-0.22,-0.61,0.64
0.34890294075012207,0.04,-0.24,-0.65,0.69
0.35909199714660645,-0.08,-0.17,-0.65,0.67
0.36914706230163574,-0.19,-0.1,-0.56,0.59
0.37911295890808105,-0.22,-0.12,-0.51,0.56
0.39011120796203613,-0.09,-0.13,-0.57,0.59
0.39893221855163574,0.15,-0.11,-0.54,0.57
0.40862607955932617,0.29,-0.03,-0.36,0.46
0.41901302337646484,0.27,0.14,-0.17,0.34
0.42881202697753906,0.13,0.26,-0.07,0.29
0.440000057220459,0.01,0.24,-0.01,0.24
0.44882798194885254,0.0,0.15,0.01,0.15
0.458453893661499,0.02,0.09,0.02,0.09
0.4688708782196045,-0.04,0.04,0.0,0.05
0.47836804389953613,-0.07,0.0,0.04,0.08
0.48957109451293945,0.01,0.08,0.11,0.13
0.4980599880218506,0.05,0.21,0.07,0.22
0.5083260536193848,0.08,0.26,-0.06,0.27
0.5182790756225586,0.05,0.21,-0.09,0.23
0.5282561779022217,-0.04,0.15,-0.01,0.15
0.5412352085113525,-0.12,0.16,0.04,0.2
0.5479118824005127,-0.11,0.22,0.01,0.24
0.5578100681304932,-0.01,0.27,-0.01,0.27
0.5680601596832275,0.11,0.3,-0.03,0.32
